country,R0_old,region_sim,days_timeseries,day_30cases,Per_reported,Log10GDP,Pop_bw20_34,logPop_tot,Pop_Urban,Urban_pop,log_Air_trans,Temp,logPercip,GHS,logMort_resp,logMort_infect,logNurses,Social_media,logInternet_filtering,GINI_index,logPollution,Business,growth_rate,R_squared,R0,days_30cases_bin,Per_reported_bin,Log10GDP_bin,logPop_tot_bin,days_timeseries_bin
Portugal,3.71,EU,20,55,40,4.331170086,16.5,7.012849874,40.9,64.7,0.19,10.07,2.004278372,60.3,1.895643505,1.26599637,0.804309844,2.68,0.553883027,33.8,0.91,39,0.225944337,0.997382611,2.46891146,5,3,5,4,3
Romania,2.19,EU,31,58,19,4.033732477,18.8,7.29197881,9.35,53.94,-0.64,-0.57,1.556905269,45.8,1.559308011,1.170555059,0.785180298,3,0.235528447,36,1.16,55,0.154660074,0.981464353,1.856402168,5,1,4,4,5
Russia,2.69,EUAS,34,61,93,4.031432299,21.8,8.159858049,22.97,74.29,-0.21,-22.77,1.270678836,44.3,1.557025722,1.624797579,0.93556772,3.4,0.432969291,37.5,1.21,28,0.095915357,0.987570224,1.467648453,6,7,4,6,5
Serbia,1.91,EU,25,66,88,3.798249307,20,6.846390189,19.69,55.94,-0.46,1.34,1.68761813,52.3,1.267640982,0.998695158,0.786772711,3.4,0.264817823,36.2,1.39,44,0.111373059,0.976370714,1.561258515,6,7,3,3,4
Singapore,2.9,AS,34,61,93,4.780301467,22.5,6.749137241,100,100,0.83,24.84,2.356370095,58.7,1.975155978,0.728353782,0.858182158,1.67,0.356025857,45.9,1.28,2,0.225814798,0.991667325,2.467632506,6,7,7,3,5
Slovenia,1.22,EU,17,55,17,4.37000763,17.8,6.315211871,0,54.3,-0.28,0.39,1.919130414,67.2,1.529943402,0.985875357,0.985875357,1.91,0.592176757,24.2,1.2,37,0.034143196,0.612320351,1.146338312,5,1,5,2,2
South Korea,6.2,AS,14,32,43,4.473381851,20.3,7.711522112,50.1,81.5,0.21,-0.47,1.625209525,70.2,1.505963518,1.252367514,0.843450805,3.6,0.50242712,31.6,1.4,5,0.314580051,0.997666553,3.519504475,3,3,5,5,2
Spain,3.38,EU,27,45,15,4.448720229,16.5,7.668322874,25.4,80.1,0.19,6.99,1.77437096,65.9,1.380934463,1.056142262,0.742780102,3.81,0.550228353,34.7,0.99,30,0.209864789,0.998855208,2.315114526,4,1,5,5,4
Sweden,1.73,EU,46,49,14,4.730333219,20.1,7.002498591,15.4,87.1,0.39,0.39,1.919130414,72.1,1.553761698,1.111598525,1.062333745,2.74,0.593286067,28.8,0.79,10,0.0864371,0.965904623,1.413047047,5,1,6,3,7
Switzerland,3.1,EU,27,47,24,4.905526048,19.7,6.926951267,16,73.8,0.5,-1.82,2.066586796,67,1.351796307,0.772321707,1.237614104,1.78,0.588831726,32.7,1.01,36,0.1951949,0.989807116,2.1831736,4,2,7,3,4
Thailand,2.93,AS,7,60,77,3.818106413,20.3,7.840167958,19.64,49.2,0.01,25.23,1.338854746,73.2,1.940167714,1.723291446,0.471980753,2.45,0.439332694,36.4,1.42,21,0.185531506,0.995390677,2.10039626,6,6,3,5,0
Turkey,2.52,EUAS,30,58,66,4.02175145,23.7,7.909030986,36.8,74.6,0.12,1.74,1.809896247,52.4,1.124504225,0.772321707,0.420021796,2.49,-0.022276395,41.9,1.65,33,0.15956725,0.989737018,1.893200914,5,5,4,5,5
Ukraine,2.22,EUAS,25,68,32,3.421715776,21.3,7.651579734,12.01,69.25,-0.82,-2.55,1.554973458,38,1.072617477,1.60368555,0.84865704,3.44,0.173186268,26.1,1.31,64,0.147334015,0.981104859,1.80279107,6,2,1,5,4
United Kingdom,2.4,EU,38,48,18,4.605966222,20,7.819931068,26.7,83.1,0.36,3.54,2.006252051,77.9,1.686546899,0.950851459,0.918439262,3.89,0.567026366,34.8,1.02,8,0.150779798,0.992978775,1.827811212,5,1,6,5,6
United States,2.87,NOR,36,46,25,4.777629059,21,8.512079913,46,82.1,0.42,-3.51,1.66266341,83.5,1.39375064,1.125481266,0.931966115,3.33,0.574031268,41.4,0.87,6,0.181502946,0.995275431,2.066821216,4,2,7,6,6
Uzbekistan,2.25,EUAS,12,77,92,3.261635588,28.1,7.510392176,7.51920429,50.55,-1.1,0.26270322,1.399812679,34.3,1.352953912,1.398113692,1.081847575,1.72,0.416640507,35.3,1.45,69,0.047692014,0.954336131,1.210178726,7,7,1,4,1
